volunteer_name, volunteer_id,volunteer_zipcode,volunteer_available_days,volunteer_interests_1,volunteer_interests_2,volunteer_interests_3,volunteer_interests_4,volunteer_interests_5,volunteer_interests_6,volunteer_interests_7,volunteer_interests_8,,,,,,,,,,,
Leymah Tagore,2003903,60640,Sunday;Friday;Thursday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Gabriel Gbowee,2004904,94110,Saturday;Sunday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring & Mentorship,,,,,,,,,,,,,,,
Amartya Morrison,2005905,80205,Tuesday,Data Entry & Research, IT Support, Helpline Support, Podcasting & Audio Editing,,,,,,,,,,,,,,,
Alice Morrison,2006906,80205,Friday;Tuesday;Sunday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Naguib Mahfouz,2007907,10027,Saturday;Monday;Tuesday,Oral History & Story Collection, Resume Writing, Art History,,,,,,,,,,,,,,,,
Toni Menchao,2008908,30318,Tuesday;Wednesday;Thursday,Oral History & Story Collection, Resume Writing, Art History, Wellness & Mental Health Support,,,,,,,,,,,,,,,
Albert Lessing,2009909,75217,Tuesday;Thursday,Data Entry & Research, IT Support, Helpline Support,,,,,,,,,,,,,,,,
Joe Mahfouz,2010910,75217,Thursday;Wednesday;Sunday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Amartya Yousafzai,2011911,19104,Saturday;Sunday;Monday,Grant Writing Support, Wellness & Mental Health Support,,,,,,,,,,,,,,,,,
Ismail Saramago,2012912,30318,Tuesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Svetlana Mightiller,2013913,60640,Wednesday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Kenzaburo Soyinka,2014914,90011,Monday;Sunday;Friday,Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,,,,
Jockes Tagore,2015915,94110,Thursday;Sunday,Citizenship Preparation, ESL Support, Voter Registration, Environment & Sustainability,,,,,,,,,,,,,,,
Shirin Mahfouz,2016916,10027,Monday;Thursday,Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,,,,
Ismail Einstein,2017917,19104,Saturday;Sunday,Citizenship Preparation, ESL Support, Voter Registration, Environment & Sustainability,,,,,,,,,,,,,,,
Barack Moller,2018918,19104,Monday,Newsletter or Social Media Design, Call Center & Helpline Support,,,,,,,,,,,,,,,,,
Kazuo Buck,2019919,30318,Friday,Youth Tutoring & Mentorship,,,,,,,,,,,,,,,,,,
Naguib Bellow,2020920,10027,Friday,Newsletter or Social Media Design, Call Center & Helpline Support,,,,,,,,,,,,,,,,,
Naguib Pamuk,2021921,90011,Saturday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring & Mentorship,,,,,,,,,,,,,,,
Chinua Yousafzai,2022922,75217,Friday;Monday;Sunday,Data Entry & Research, IT Support, Helpline Support, Podcasting & Audio Editing,,,,,,,,,,,,,,,
Chinua Saramago,2023923,75217,Wednesday;Sunday;Tuesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Albert Mentyon,2024924,33101,Saturday;Wednesday;Thursday,Oral History & Story Collection, Resume Writing, Art History,,,,,,,,,,,,,,,,
Muhammad Bellow,2025925,90011,Friday;Sunday,Oral History & Story Collection, Resume Writing, Art History, Wellness & Mental Health Support,,,,,,,,,,,,,,,
Saul Mench,2026926,90011,Wednesday;Tuesday;Sunday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Malala Oe,2027927,19143,Tuesday;Thursday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Kenzaburo Munro,2028928,85009,Sunday;Friday;Wednesday,Oral History & Story Collection, Resume Writing, Art History, Wellness & Mental Health Support,,,,,,,,,,,,,,,
Herta Morrison,2029929,77021,Monday,Meal Distribution, Volunteer Coordination, Mechanics & Repairs, Gardening, Woodworking,,,,,,,,,,,,,,
Svetlana Bellow,2030930,75217,Wednesday;Tuesday;Sunday,Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,,,,
Doris Sen,2031931,10027,Thursday;Wednesday;Monday,Citizenship Preparation, ESL Support, Voter Registration, Environment & Sustainability,,,,,,,,,,,,,,,
Kenzaburo Obama,2032932,60640,Tuesday;Saturday,Meal Distribution, Volunteer Coordination,,,,,,,,,,,,,,,,,
Muhammad Morrison,2033933,33101,Monday,Data Entry & Research, IT Support, Helpline Support, Podcasting & Audio Editing,,,,,,,,,,,,,,,
Pearl Sen,2034934,60640,Sunday,Meal Distribution, Volunteer Coordination, Mechanics & Repairs, Gardening, Woodworking,,,,,,,,,,,,,,
Naguib Munro,2035935,60640,Monday,Data Entry & Research, IT Support, Helpline Support,,,,,,,,,,,,,,,,
Toni Yunus,2036936,10027,Saturday,Data Entry & Research, IT Support, Helpline Support,,,,,,,,,,,,,,,,
Shirin Tagore,2037937,30318,Friday;Saturday,Mediation & Conflict Resolution, Mechanics & Repairs, Gardening, Woodworking,,,,,,,,,,,,,,,
Shirin Wiesel,2038938,94110,Thursday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination,,,,,,,,,,,,,,,
Joseph Kadario,2039939,94110,Sunday;Saturday,Data Entry & Research, IT Support, Helpline Support,,,,,,,,,,,,,,,,
Orhan Soyinka,2040940,77004,Monday;Thursday;Sunday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Amartya Munro,2041941,19104,Sunday;Tuesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Wole Curie,2042942,19143,Wednesday;Sunday,Mechanics & Repairs, Environment & Sustainability,,,,,,,,,,,,,,,,,
Rabindranath Yousafzai,2043943,85009,Friday;Thursday;Sunday,Arts Education, Environment & Sustainability,,,,,,,,,,,,,,,,,
Amartya Bellow,2044944,77021,Friday,Newsletter or Social Media Design, Call Center & Helpline Support,,,,,,,,,,,,,,,,,
Muhammad Einstein,2045945,75217,Wednesday;Saturday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Gabriel Mahfouz,2046946,33101,Monday;Thursday;Friday,Newsletter or Social Media Design, Call Center & Helpline Support,,,,,,,,,,,,,,,,,
Naguib Ishiguro,2047947,33101,Sunday;Friday;Tuesday,Mechanics & Repairs, Gardening, Woodworking,,,,,,,,,,,,,,,,
Naguib Curie,2048948,30318,Saturday;Monday,Citizenship Preparation, ESL Support, Voter Registration,,,,,,,,,,,,,,,,
Kofi Einstein,2049949,33101,Saturday;Wednesday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Rabindranath Kadara,2050950,33101,Saturday;Tuesday;Friday,Oral History & Story Collection, Resume Writing, Art History, Wellness & Mental Health Support,,,,,,,,,,,,,,,
Naguib Yousafzai,2051951,33101,Wednesday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination,,,,,,,,,,,,,,,
Toni Soyinka,2052952,75217,Wednesday;Thursday;Saturday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Orhan Saramago,2053953,80205,Tuesday;Saturday;Monday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Saul Einstein,2054954,75217,Sunday,Arts Education, Environment & Sustainability,,,,,,,,,,,,,,,,,
Wangari Buck,2055955,94110,Monday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Kofi Tagore,2056956,19104,Thursday,Environment & Sustainability, Composting & Food Waste,,,,,,,,,,,,,,,,,
Wole Pamuk,2057957,75217,Saturday;Thursday;Sunday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Shirin Morrison,2058958,10027,Tuesday;Sunday,Youth Tutoring & Mentorship, Arts Education, ESL Support,,,,,,,,,,,,,,,,
Haruki Annan,2059959,10027,Thursday,Mediation & Conflict Resolution, Civic Engagement, Voter Registration,,,,,,,,,,,,,,,,
Wole Bellow,2060960,19104,Friday;Sunday;Wednesday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Doris Saramago,2061961,80205,Thursday;Tuesday;Sunday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Naguib Soyinka,2062962,94110,Sunday;Friday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Herta Annan,2063963,77004,Saturday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Chinua Bellow,2064964,30318,Monday;Tuesday;Saturday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Haruki Einstein,2065965,60640,Thursday,STEM Mentorship, Podcasting & Audio Editing, Storytelling & Performing Arts,,,,,,,,,,,,,,,,
Amartya Achebe,2066966,19104,Tuesday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Gabriel Mencho,2067967,75217,Thursday;Sunday;Monday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Saul Munro,2068968,33101,Saturday;Sunday;Friday,Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,,,,
Marie Tagore,2069969,77004,Monday;Thursday,,,,,,,,,,,,,,,,,,,
Kenzaburo Bellow,2070970,33101,Tuesday;Friday,STEM Mentorship, Podcasting & Audio Editing, Wellness & Mental Health Support, Storytelling & Performing Arts,,,,,,,,,,,,,,,
Wole MenchÃº,2071971,75217,Monday;Sunday;Thursday,,,,,,,,,,,,,,,,,,,
Barack Annan,2072972,60640,Thursday;Wednesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Ismail Morrison,2073973,30318,Sunday;Thursday,Meal Distribution, Volunteer Coordination, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,
Pearl Maathai,2074974,19104,Friday;Monday;Wednesday,Youth Tutoring & Mentorship, Arts Education, ESL Support, Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,
Toni Mahfouz,2075975,10027,Tuesday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care, Storytelling & Performing Arts,,,,,,,,,,,
Muhammad Obama,2076976,94110,Saturday;Monday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Saul Wiesel,2077977,77004,Friday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination, Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care,,,,,,,,, Youth Tutoring, Voter Registration
Rigoberta Obama,2078978,60640,Friday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Orhan Obama,2079979,75217,Thursday;Saturday,,,,,,,,,,,,,,,,,,,
Marie Ebadi,2080980,75217,Saturday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination, Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care,,,,,,,,, Youth Tutoring, Voter Registration
Herta Obama,2081981,75217,Sunday;Monday;Wednesday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care, Storytelling & Performing Arts,,,,,,,,,,,
Josaish Newton,2082982,90011,Wednesday;Monday;Thursday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Wole Sen,2083983,90011,Sunday;Thursday;Tuesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Haruki Yousafzai,2084984,60640,Wednesday;Friday;Saturday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Elie Pamuk,2085985,75217,Sunday;Tuesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Elie Soyinka,2086986,19104,Friday;Sunday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Rabindranath Lessing,2087987,19104,Thursday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring, Voter Registration,,,,,,,,,,,,,,
Amartya Alexievich,2088988,77004,Friday;Saturday,,,,,,,,,,,,,,,,,,,
Kenzaburo Mahfouz,2089989,80205,Tuesday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination, Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care,,,,,,,,, Youth Tutoring, Voter Registration
Leymah Ishiguro,2090990,94110,Saturday;Thursday;Sunday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Rabindranath Achebe,2091991,94110,Saturday;Tuesday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination, Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care,,,,,,,,, Youth Tutoring, Voter Registration
Kazuo Oe,2092992,75217,Friday;Sunday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination, Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care,,,,,,,,, Youth Tutoring, Voter Registration
Saul Kadaraceo,2093993,80205,Saturday;Thursday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination, Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care,,,,,,,,, Youth Tutoring, Voter Registration
Pearl Ebadi,2094994,94110,Tuesday;Wednesday;Monday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Elie Matiller,2095995,94110,Saturday;Friday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Muhammad Soyinka,2096996,90011,Tuesday;Wednesday,Arts Education, Environment & Sustainability,,,,,,,,,,,,,,,,,
Chinua Curie,2097997,80205,Monday;Sunday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Gabriel Einstein,2098998,30318,Monday;Sunday,Environment & Sustainability, Composting & Food Waste,,,,,,,,,,,,,,,,,
Wangari Mahfouz,2099999,19104,Monday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Orhan Oeer,2101000,19104,Thursday,Youth Tutoring & Mentorship, Arts Education, ESL Support, Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,
Kofi Kadaraer,2102001,19104,Tuesday,Mediation & Conflict Resolution, Civic Engagement, Voter Registration,,,,,,,,,,,,,,,,
Naguib Achebe,2103002,90011,Friday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring, Voter Registration,,,,,,,,,,,,,,
Naguib Ebadi,2104003,75217,Thursday;Sunday;Saturday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Ismail Lessing,2105004,33101,Friday;Monday;Sunday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Barack GarcÃ­a MÃ¡rquez,2106005,94110,Wednesday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Wangari Gbowee,2107006,94110,Monday;Tuesday;Sunday,Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,
Shirin Curie,2108007,19104,Wednesday;Monday,STEM Mentorship, Podcasting & Audio Editing, Storytelling & Performing Arts,,,,,,,,,,,,,,,,
Alice Tagore,2109008,77004,Saturday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Shirin Einstein,2110009,75217,Thursday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
Wangari Alexievich,2111010,60640,Monday,Arts Education, Storytelling & Performing Arts,,,,,,,,,,,,,,,,,
Wole Kadarac,2112011,60640,Saturday;Friday;Wednesday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Rigoberta Curie,2113012,90011,Wednesday;Saturday;Thursday,Arts Education, Environment & Sustainability,,,,,,,,,,,,,,,,,
Albert Ishiguro,2114013,19104,Friday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Toni Curie,2115014,30318,Monday;Sunday,Environment & Sustainability, Composting & Food Waste,,,,,,,,,,,,,,,,,
Doris Buck,2116015,75217,Sunday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Amartya Menchar,2117016,60640,Saturday;Thursday;Wednesday,Youth Tutoring & Mentorship, Arts Education, ESL Support,,,,,,,,,,,,,,,,
Malala Soyinka,2118017,33101,Monday;Thursday,Mediation & Conflict Resolution, Civic Engagement, Voter Registration,,,,,,,,,,,,,,,,
Shirin Achebe,2119018,30318,Sunday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Toni Buck,2120019,19104,Thursday;Friday;Monday,Arts Education, Environment & Sustainability,,,,,,,,,,,,,,,,,
Muhammad Ebadi,2121020,19104,Monday;Thursday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Pearl Oe,2122021,80205,Monday;Tuesday,Environment & Sustainability, Composting & Food Waste,,,,,,,,,,,,,,,,,
Kazuo Lessing,2123022,19104,Sunday;Monday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Wangari Menchao,2124023,60640,Saturday;Thursday,Youth Tutoring & Mentorship, Arts Education, ESL Support,,,,,,,,,,,,,,,,
Leymah Achebe,2125024,60640,Saturday,Mediation & Conflict Resolution, Civic Engagement, Voter Registration,,,,,,,,,,,,,,,,
Wole Mailler,2126025,77004,Friday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Haruki Yousafzai,2127026,60640,Monday;Saturday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
