volunteer_name, volunteer_id,parole_officer,,county_name,,hours_required,deadline_date
Svetlana Morrison,2001901,Aisha Patel,,Bibb County,,1187,10/20/2022
Elie Alexievich,2002902,Diego Alvarez,,Fayette County,,1227,6/28/2020
Leymah Tagore,2003903,Caleb Thompson,,Forsyth County,,1266,2/6/2021
Gabriel Gbowee,2004904,Diego Alvarez,,Lowndes County,,1306,9/30/2023
Amartya Morrison,2005905,Sofia Romano,,Clarke County,,1345,2/2/2020
Alice Morrison,2006906,Jordan Matthews,,Coweta County,,1385,4/23/2020
Naguib Mahfouz,2007907,Aisha Patel,,Clarke County,,1424,4/8/2024
Toni Menchao,2008908,Diego Alvarez,,Clarke County,,1464,8/13/2024
Albert Lessing,2009909,Olivia Reyes,,Forsyth County,,1503,10/24/2020
Joe Mahfouz,2010910,Marcus Bennett,,Columbia County,,1543,8/24/2024
Amartya Yousafzai,2011911,Marcus Bennett,,Clarke County,,1582,1/8/2025
Ismail Saramago,2012912,Ethan Kim,,Paulding County,,1622,12/26/2021
Svetlana Mightiller,2013913,Aisha Patel,,Columbia County,,1661,6/2/2020
Kenzaburo Soyinka,2014914,Olivia Reyes,,Cherokee County,,1701,5/27/2025
Jockes Tagore,2015915,Diego Alvarez,,Paulding County,,1740,6/19/2020
Shirin Mahfouz,2016916,Caleb Thompson,,Columbia County,,1780,1/5/2024
Ismail Einstein,2017917,Marcus Bennett,,Paulding County,,1819,3/10/2023
Barack Moller,2018918,Lily Chen,,Fulton County,,1859,9/6/2023
Kazuo Buck,2019919,Ethan Kim,,Cobb County,,1898,7/2/2023
Naguib Bellow,2020920,Jordan Matthews,,DeKalb County,,1938,9/9/2022
Naguib Pamuk,2021921,Olivia Reyes,,Columbia County,,1977,2/28/2021
Chinua Yousafzai,2022922,Sofia Romano,,Cobb County,,2017,4/29/2020
Chinua Saramago,2023923,Marcus Bennett,,Cobb County,,2056,8/14/2023
Albert Mentyon,2024924,Caleb Thompson,,Gwinnett County,,2096,4/23/2024
Muhammad Bellow,2025925,Ethan Kim,,DeKalb County,,2135,3/10/2022
Saul Mench,2026926,Maya Okafor,,Clayton County,,2175,3/23/2024
Malala Oe,2027927,Olivia Reyes,,Henry County,,2214,4/4/2020
Kenzaburo Munro,2028928,Ethan Kim,,Chatham County,,2254,7/1/2023
Herta Morrison,2029929,Olivia Reyes,,Henry County,,2293,11/13/2021
Svetlana Bellow,2030930,Marcus Bennett,,Bibb County,,2333,7/10/2025
Doris Sen,2031931,Jordan Matthews,,Forsyth County,,2372,3/19/2022
Kenzaburo Obama,2032932,Sofia Romano,,Muscogee County,,2412,9/24/2025
Muhammad Morrison,2033933,Caleb Thompson,,Bibb County,,2451,4/24/2022
Pearl Sen,2034934,Aisha Patel,,Henry County,,2491,8/4/2024
Naguib Munro,2035935,Diego Alvarez,,Forsyth County,,2530,8/23/2023
Toni Yunus,2036936,Caleb Thompson,,Richmond County,,2570,11/8/2023
Shirin Tagore,2037937,Diego Alvarez,,Cobb County,,2609,10/19/2024
Shirin Wiesel,2038938,Sofia Romano,,Hall County,,2649,12/19/2024
Joseph Kadario,2039939,Jordan Matthews,,Clarke County,,2688,8/7/2021
Orhan Soyinka,2040940,Aisha Patel,,Forsyth County,,2728,5/24/2022
Amartya Munro,2041941,Diego Alvarez,,Columbia County,,2767,1/3/2022
Wole Curie,2042942,Olivia Reyes,,Douglas County,,2807,7/2/2020
Rabindranath Yousafzai,2043943,Marcus Bennett,,Bibb County,,2846,4/3/2021
Amartya Bellow,2044944,Marcus Bennett,,Fayette County,,2886,6/19/2022
Muhammad Einstein,2045945,Ethan Kim,,Forsyth County,,2925,2/22/2024
Gabriel Mahfouz,2046946,Aisha Patel,,Lowndes County,,2965,8/1/2022
Naguib Ishiguro,2047947,Olivia Reyes,,Clarke County,,3004,7/2/2025
Naguib Curie,2048948,Diego Alvarez,,Coweta County,,3044,4/19/2021
Kofi Einstein,2049949,Caleb Thompson,,Clarke County,,3083,11/10/2025
Rabindranath Kadara,2050950,Marcus Bennett,,Clarke County,,3123,
Naguib Yousafzai,2051951,Lily Chen,,Forsyth County,,3162,
Toni Soyinka,2052952,Ethan Kim,,Columbia County,,3202,
Orhan Saramago,2053953,Jordan Matthews,,Clarke County,,3241,
Saul Einstein,2054954,Olivia Reyes,,Paulding County,,3281,
Wangari Buck,2055955,Sofia Romano,,Columbia County,,3320,
Kofi Tagore,2056956,Marcus Bennett,,Cherokee County,,3360,
Wole Pamuk,2057957,Caleb Thompson,,Paulding County,,3399,
Shirin Morrison,2058958,Ethan Kim,,Columbia County,,3439,
Haruki Annan,2059959,Maya Okafor,,Paulding County,,3478,
Wole Bellow,2060960,Olivia Reyes,,Fulton County,,3518,
Doris Saramago,2061961,Ethan Kim,,Cobb County,,3557,
Naguib Soyinka,2062962,Olivia Reyes,,DeKalb County,,3597,
Herta Annan,2063963,Marcus Bennett,,Columbia County,,3636,
Chinua Bellow,2064964,Jordan Matthews,,Cobb County,,3676,
Haruki Einstein,2065965,Sofia Romano,,Cobb County,,3715,
Amartya Achebe,2066966,Caleb Thompson,,Gwinnett County,,3755,
Gabriel Mencho,2067967,Aisha Patel,,DeKalb County,,3794,
Saul Munro,2068968,Diego Alvarez,,Clayton County,,3834,
Marie Tagore,2069969,Caleb Thompson,,Henry County,,3873,
Kenzaburo Bellow,2070970,Diego Alvarez,,Chatham County,,3913,
Wole MenchÃº,2071971,Sofia Romano,,Henry County,,3952,
Barack Annan,2072972,Jordan Matthews,,Bibb County,,3992,
Ismail Morrison,2073973,Aisha Patel,,Forsyth County,,4031,
Pearl Maathai,2074974,Diego Alvarez,,Muscogee County,,4071,
Toni Mahfouz,2075975,Olivia Reyes,,Bibb County,,4110,
Muhammad Obama,2076976,Marcus Bennett,,Henry County,,4150,
Saul Wiesel,2077977,Marcus Bennett,,Forsyth County,,4189,
Rigoberta Obama,2078978,Ethan Kim,,Richmond County,,4229,
Orhan Obama,2079979,Aisha Patel,,Cobb County,,4268,
Marie Ebadi,2080980,Olivia Reyes,,Hall County,,4308,
Herta Obama,2081981,Diego Alvarez,,Clarke County,,4347,
Josaish Newton,2082982,Diego Alvarez,,Forsyth County,,4387,
Wole Sen,2083983,Caleb Thompson,,Columbia County,,4426,
Haruki Yousafzai,2084984,Diego Alvarez,,Douglas County,,4466,
Elie Pamuk,2085985,Sofia Romano,,Bibb County,,4505,
Elie Soyinka,2086986,Jordan Matthews,,Fayette County,,4545,
Rabindranath Lessing,2087987,Aisha Patel,,Forsyth County,,4584,
Amartya Alexievich,2088988,Diego Alvarez,,Lowndes County,,4624,
Kenzaburo Mahfouz,2089989,Olivia Reyes,,Clarke County,,4663,
Leymah Ishiguro,2090990,Marcus Bennett,,Coweta County,,4703,
Rabindranath Achebe,2091991,Marcus Bennett,,Clarke County,,4742,
Kazuo Oe,2092992,Ethan Kim,,Clarke County,,4782,
Saul Kadaraceo,2093993,Aisha Patel,,Forsyth County,,4821,
Pearl Ebadi,2094994,Olivia Reyes,,Columbia County,,4861,
Elie Matiller,2095995,Diego Alvarez,,Clarke County,,4900,
Muhammad Soyinka,2096996,Diego Alvarez,,Paulding County,,4940,
Chinua Curie,2097997,Caleb Thompson,,Columbia County,,4979,
Gabriel Einstein,2098998,Diego Alvarez,,Cherokee County,,5019,
Wangari Mahfouz,2099999,Sofia Romano,,Paulding County,,5058,
Orhan Oeer,2101000,Jordan Matthews,,Columbia County,,5098,
Kofi Kadaraer,2102001,Aisha Patel,,Paulding County,,5137,
Naguib Achebe,2103002,Diego Alvarez,,Fulton County,,5177,
Naguib Ebadi,2104003,Olivia Reyes,,Cobb County,,5216,
Ismail Lessing,2105004,Marcus Bennett,,DeKalb County,,5256,
Barack GarcÃ­a MÃ¡rquez,2106005,Marcus Bennett,,Columbia County,,5295,
Wangari Gbowee,2107006,Ethan Kim,,Cobb County,,5335,
Shirin Curie,2108007,Aisha Patel,,Cobb County,,5374,
Alice Tagore,2109008,Olivia Reyes,,Gwinnett County,,5414,
Shirin Einstein,2110009,Diego Alvarez,,DeKalb County,,5453,
Wangari Alexievich,2111010,Olivia Reyes,,Clayton County,,5493,
Wole Kadarac,2112011,Sofia Romano,,Henry County,,5532,
Rigoberta Curie,2113012,Marcus Bennett,,Chatham County,,5572,
Albert Ishiguro,2114013,Caleb Thompson,,Henry County,,5611,
Toni Curie,2115014,Ethan Kim,,Bibb County,,5651,
Doris Buck,2116015,Maya Okafor,,Forsyth County,,5690,
Amartya Menchar,2117016,Olivia Reyes,,Muscogee County,,5730,
Malala Soyinka,2118017,Ethan Kim,,Bibb County,,5769,
Shirin Achebe,2119018,Olivia Reyes,,Henry County,,5809,
Toni Buck,2120019,Marcus Bennett,,Forsyth County,,5848,
Muhammad Ebadi,2121020,Jordan Matthews,,Richmond County,,5887,
Pearl Oe,2122021,Sofia Romano,,Cobb County,,5927,
Kazuo Lessing,2123022,Caleb Thompson,,Hall County,,5967,
Wangari Menchao,2124023,Aisha Patel,,Clarke County,,6006,
Leymah Achebe,2125024,Olivia Reyes,,Forsyth County,,6045,
Wole Mailler,2126025,Sofia Romano,,Columbia County,,6085,
Haruki Yousafzai,2127026,Marcus Bennett,,Douglas County,,6124,
